Accession	Organism	TaxonID
NC_061688	Zanthoxylum ailanthoides	159071
NC_084337	Carthamus tinctorius x Carthamus persicus	1809698
NC_046773	Pontederia crassipes	44947
NC_084458	Plumbago zeylanica	76149
NC_084456	Camellia fusuiensis	147915
NC_084455	Camellia huana	147917
NC_084454	Spiraea media	1161166
NC_084453	Spiraea pubescens	409518
NC_084440	Eremophila naaykensii	3092756
NC_084439	Trollius yunnanensis	216500
NC_084438	Trollius vaginatus	944287
NC_084437	Trollius taihasenzanensis	2803541
NC_084436	Trollius ranunculoides	39385
NC_084435	Trollius pumilus	212756
NC_084434	Trollius micranthus	3092757
NC_084433	Trollius lilacinus	1439931
NC_084432	Trollius ledebouri	46346
NC_084431	Trollius japonicus	270100
NC_084430	Trollius dschungaricus	944283
NC_084429	Trollius buddae	2291174
