TaxonID,GenusName,GenusTaxonID
3073547,NA,NA
3073545,NA,NA
2291721,Tetradesmus,91192
269609,Tetradesmus,91192
119574,Tetradesmus,91192
3073544,NA,NA
113531,Tetradesmus,91192
3073546,NA,NA
113534,Tetradesmus,91192
3113649,NA,NA
1745963,Hydrocytium,3073813
1745963,Hydrocytium,3073813
434723,Ulva,3118
1872694,Ulva,3118
3062090,,3086
3068301,,3166
3063876,Trentepohlia,173374
3063876,Trentepohlia,173374
2601844,Picochlorum,249344
3041901,Bryopsis,3128
2806530,Ulva,3118
2904618,Gormaniella,2952721
434723,Ulva,3118
1872694,Ulva,3118
3117,Ulva,3118
3117,Ulva,3118
3117,Ulva,3118
2126034,Symbiochloris,1853743
270643,Tetraselmis,3164
118223,Halimeda,118221
76313,Caulerpa,76312
77547,Desmodesmus,91202
41888,Tetraselmis,3164
138667,Monostroma,63411
1286870,Gayralia,153903
2704661,Polulichloris,2511083
2704660,Watanabea,191672
3031288,Calidiella,1658510
2650457,Massjukichlorella,2570321
2704665,Kalinella,681983
1837062,Phyllosiphon,634748
2607983,Micractinium,126838
47281,Edaphochlamys,2594176
40531,Hyalomonas,2992871
225041,Chlamydomonas,3052
52028,Chlorogonium,52027
55409,Coelastrum,55408
81818,Monoraphidium,34111
932731,Ulva,3118
1451047,Ulva,3118
1985640,Cephaleuros,173369
173370,Cephaleuros,173369
173371,Cephaleuros,173369
156128,Nephroselmis,31311
63414,Blidingia,63413
75689,Ulva,3118
2847172,Ulva,3118
2806530,Ulva,3118
523338,Ulva,3118
83795,Ulva,3118
111616,Ulva,3118
63659,Ulva,3118
764104,Aphanochaete,104530
764105,Aphanochaete,104530
2079440,Chaetophoropsis,2505929
764120,Uronema,104535
177078,Caulerpa,76312
2604950,Microrhizoidea,2604949
498180,Ulva,3118
2576626,Trentepohlia,173374
1883388,Chloroparvula,2302916
1461542,Chloropicon,2302914
1411623,Chloroparvula,2302916
1461544,Chloropicon,2302914
1606511,Chloropicon,2302914
464258,Chloropicon,2302914
1764286,Chloropicon,2302914
63410,Ulva,3118
3192,Spermatozopsis,3191
332213,Chlorosarcinopsis,138174
163324,Parallela,871272
915274,Chlorococcum,44649
152631,Coelastrella,75800
2364088,Pedobesia,118241
170437,Udotea,170436
189445,Udotea,170436
2320810,Rhipiliopsis,189435
453070,Pseudocodium,325648
221038,Codium,3132
177082,Caulerpa,76312
2320807,Callipsygma,2320806
2320802,Boodleopsis,381414
381415,Boodleopsis,381414
148947,Caulerpa,76312
271398,Stauridium,427905
2184484,Pseudopediastrum,427904
271402,Pseudopediastrum,427904
55410,Pseudopediastrum,427904
271408,Pediastrum,3104
427913,Lacunastrum,1336488
575411,Prototheca,3110
215448,Prototheca,3110
717648,Caulerpa,76312
1191365,Codium,3132
1979422,Rhipilia,325646
189431,Chlorodesmis,189429
1979421,Bryopsis,3128
44745,Haematococcus,44744
91197,Pectinodesmus,1144387
3117,Ulva,3118
83791,Ulva,3118
231078,Ignatius,231077
231080,Pseudocharacium,231079
2202518,Hazenia,160075
173495,Neodangemannia,173494
44573,Pseudoneochloris,44566
141643,Sarcinofilum,2045110
3107,Hydrodictyon,3106
3105,Pediastrum,3104
1615899,Palmophyllum,539820
101717,Lambia,101716
589376,Codium,3132
76317,Caulerpa,76312
55992,Oedocladium,55991
1004391,Caulerpa,76312
1847751,Derbesia,33106
63409,Ulva,3118
36881,Cymbomonas,36880
52688,Ankyra,52687
162317,Chlorotetraedron,162316
117505,Kirchneriella,55412
50041,Bracteacoccus,50036
50037,Bracteacoccus,50036
31302,Chromochloris,1399958
31300,Mychonastes,91354
3099,Neochloris,3098
889459,Pseudomuriella,42695
111617,Ulva,3118
52965,Phacotus,52033
50039,Bracteacoccus,50036
69401,Carteria,47780
167768,Characiochloris,167767
436124,Hafniomonas,51321
993092,Jenufa,1072081
993091,Jenufa,1072081
158507,Oogamochlamys,195537
797708,Mychonastes,91354
1755147,Treubaria,52684
325645,Tydemania,325644
3130,Bryopsis,3128
33092,Koliella,242837
1853882,Symbiochloris,1853743
381761,Elliptochloris,381760
163309,Geminella,163308
160064,Pedinomonas,3158
3083,Edaphochlorella,1940604
91190,Dicloster,91189
3087189,Binuclearia,3087188
160069,Gloeotilopsis,34156
34148,Microthamnion,34147
312850,Lobosphaera,63682
3102,Parietochloris,3101
173497,Pseudochlorella,63681
191674,Watanabea,191672
480381,Xylochloris,942149
1418016,Pseudochloris,1418015
37433,Stichococcus,29646
97105,Marvania,97104
249350,Paradoxia,249349
155904,Koliella,242837
1065496,Neocystis,1065495
3171,Myrmecia,114064
106203,Fusochloris,106202
38881,Botryococcus,38880
41300,Choricystis,41299
259378,Nephroselmis,31311
88271,Picocystis,88270
41875,Bathycoccus,41874
3076,Chlorella,3071
3075,Auxenochlorella,191392
33097,Gonium,33096
1208065,,75966
3046,Dunaliella,3044
3159,Pedinomonas,3158
104533,Schizomeris,104532
51328,Floydiella,304582
222885,Bryopsis,3128
3074,Parachlorella,247501
296587,Micromonas,38832
141716,Monomastix,141715
41880,Pycnococcus,41879
36894,Pyramimonas,36882
55995,Oedogonium,55993
34116,Pleurastrum,34114
55999,Stigeoclonium,55998
70448,Ostreococcus,70447
160070,Tupiella,2045111
51324,Oltmannsiellopsis,51323
3088,Tetradesmus,91192
3055,Chlamydomonas,3052
31312,Nephroselmis,31311
3077,Chlorella,3071
83794,Ulva,3118
3117,Ulva,3118
3034933,Ostreobium,121087
138667,Monostroma,63411
1286870,Gayralia,153903
2704661,Polulichloris,2511083
2704660,Watanabea,191672
3031288,Calidiella,1658510
2650457,Massjukichlorella,2570321
2704665,Kalinella,681983
3031248,Chloroidium,1034479
1837062,Phyllosiphon,634748
34112,Chlorolobion,1463548
2607983,Micractinium,126838
2978530,Chlorococcum,44649
47281,Edaphochlamys,2594176
55409,Coelastrum,55408
40531,Hyalomonas,2992871
225041,Chlamydomonas,3052
52028,Chlorogonium,52027
52028,Chlorogonium,52027
81818,Monoraphidium,34111
3076,Chlorella,3071
2126034,Symbiochloris,1853743
932731,Ulva,3118
1451047,Ulva,3118
270643,Tetraselmis,3164
121088,Ostreobium,121087
121088,Ostreobium,121087
121088,Ostreobium,121087
121088,Ostreobium,121087
121088,Ostreobium,121087
121088,Ostreobium,121087
121088,Ostreobium,121087
121088,Ostreobium,121087
121088,Ostreobium,121087
76313,Caulerpa,76312
2904618,Gormaniella,2952721
77547,Desmodesmus,91202
41888,Tetraselmis,3164
118223,Halimeda,118221
3077,Chlorella,3071
1606511,Chloropicon,2302914
312850,Lobosphaera,63682
44745,Haematococcus,44744
585852,Ulva,3118
1650286,Chlorella,3071
1985640,Cephaleuros,173369
173370,Cephaleuros,173369
2907467,Trentepohlia,173374
2907466,Trentepohlia,173374
173371,Cephaleuros,173369
932731,Ulva,3118
3116,Ulva,3118
554065,Chlorella,3071
337949,Oedocladium,55991
2315456,Coccomyxa,41891
3117,Ulva,3118
2847172,Ulva,3118
2806530,Ulva,3118
75689,Ulva,3118
63659,Ulva,3118
63414,Blidingia,63413
148947,Caulerpa,76312
2831089,Oedogonium,55993
1449749,Poropsis,1157960
948799,Rhipidosiphon,575865
2812607,Ulva,3118
156128,Nephroselmis,31311
3077,Chlorella,3071
3077,Chlorella,3071
47775,Astrephomene,47772
63414,Blidingia,63413
63659,Ulva,3118
523338,Ulva,3118
83795,Ulva,3118
111616,Ulva,3118
63659,Ulva,3118
148947,Caulerpa,76312
47282,Eudorina,34143
111616,Ulva,3118
764104,Aphanochaete,104530
2725789,Chaetophora,51319
764105,Aphanochaete,104530
2725787,Uronema,104535
2079440,Chaetophoropsis,2505929
764120,Uronema,104535
2725788,Stigeoclonium,55998
2725790,Chaetophoropsis,2505929
2725790,Chaetophoropsis,2505929
2725790,Chaetophoropsis,2505929
2725790,Chaetophoropsis,2505929
2725790,Chaetophoropsis,2505929
2725790,Chaetophoropsis,2505929
2725790,Chaetophoropsis,2505929
177078,Caulerpa,76312
148953,Caulerpa,76312
177068,Caulerpa,76312
3133,Codium,3132
3120,Ulva,3118
