tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
 Error occurred: cannot get document summary
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
10090	Mus musculus	50882	110051	secondary	Kis1		Kaplan integrations site 1		2 97.0 cM	2							
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
9606	Homo sapiens	57502	0	live	NLGN4X	ASPGX2, AUTSX2, HLNX, HNL4X, NLGN4	neuroligin 4 X-linked	neuroligin-4, X-linked	Xp22.32-p22.31	X	NC_000023.11	5890042	6228867	minus	13	300427	
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
7227	Drosophila melanogaster	42166	0	live	Cbp20	Dmel_CG12357, CBP20, CG12357, Dmel\CG12357, cbp20	cap binding protein 20	cap binding protein 20|CG12357-PA|Cbp20-PA	3-62 cM	3R	NT_033777.3	18164661	18165439	plus	3		
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
7227	Drosophila melanogaster	31816	0	live	Moe	Dmel_CG10701, CG10701, D17, DMoe, Dmel\CG10701, Dmoe, EMR1, ERM, Emr1, GMAs, anon-WO03040301.155, anon-WO03040301.157, anon-WO03040301.159, anon-WO03040301.161, dMoe, gma, l(1)G0067, l(1)G0323, l(1)G0404, l(1)G0415, moe, moesin, moesin/ezrin/radixin homolog mRNA, p-Moesin, Moe	Moesin	moesin|CG10701-PA|CG10701-PB|CG10701-PC|CG10701-PD|CG10701-PE|CG10701-PF|CG10701-PG|CG10701-PH|CG10701-PI|CG10701-PJ|CG10701-PK|CG10701-PL|CG10701-PM|Ezrin-Radixin-Moesin|Ezrin-moesin-radixin-1|Moe-PA|Moe-PB|Moe-PC|Moe-PD|Moe-PE|Moe-PF|Moe-PG|Moe-PH|Moe-PI|Moe-PJ|Moe-PK|Moe-PL|Moe-PM|Moesin-like|dmoesin	1-25 cM	X	NC_004354.4	8873012	8898332	minus	16		
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
7227	Drosophila melanogaster	31815	0	live	CG12075	Dmel_ Dmel\CG12075	uncharacterized protein	uncharacterized protein|CG12075-PA|CG12075-PB|CG12075-PC|CG12075-PD|CG12075-PE	1-25 cM	X	NC_004354.4	8838323	8872774	plus	7		
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
 Error occurred: cannot get document summary
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
10090	Mus musculus	57440	0	live	Ehd3	Ehd2	EH-domain containing 3	EH domain-containing protein 3|EH-domain containing protein 2	17 45.2 cM	17	NC_000083.7	74111836	74139088	plus	6		
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
7227	Drosophila melanogaster	45911	0	live	patulous		patulous		2-101.0 cM	2							
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
7227	Drosophila melanogaster	45844	0	discontinued	drd	FBgn0000494	drop dead		1-33--57	X							
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
 Error occurred: cannot get document summary
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
 Error occurred: cannot get document summary
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
7227	Drosophila melanogaster	35878	0	live	ana2	Dmel_CG8262, Ana-2, Ana2, BcDNA:LD22033, CG8262, Dmel\CG8262, STIL, dSTIL	anastral spindle 2	anastral spindle 2|CG8262-PA|CG8262-PB|ana2-PA|ana2-PB|anastral spindle phenotype 2|anastral spindle-2	2-59 cM	2R	NT_033778.4	8898729	8900211	minus	2		
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
9606	Homo sapiens	57061	0	live	HYMAI	NCRNA00020	hydatidiform mole associated and imprinted	hydatidiform mole associated and imprinted (non-protein coding)	6q24.2	6	NC_000006.12	144004916	144008259	minus	1	606546	
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
9606	Homo sapiens	57622	0	live	LRFN1	SALM2	leucine rich repeat and fibronectin type III domain containing 1	leucine-rich repeat and fibronectin type III domain-containing protein 1|CTC-246B18.8|synaptic adhesion-like molecule 2	19q13.2	19	NC_000019.10	39306566	39320863	minus	5	612807	
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
10090	Mus musculus	50996	0	live	Pdcd7	ES18	programmed cell death 7	programmed cell death protein 7	9 35.25 cM	9	NC_000075.7	65253350	65266925	plus	5		
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
10090	Mus musculus	21425	0	live	Tfeb	Tcfeb, bHLHe35	transcription factor EB	transcription factor EB	17 23.99 cM	17	NC_000083.7	48047962	48103341	plus	14		
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
10090	Mus musculus	20092	111026	secondary	Rps4-rs1		ribosomal protein S4, related sequence 1		1 75.3 cM	1							
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
10090	Mus musculus	58807	0	live	Slco1c1	OATP-14, OATP-F, Oatp2, Oatpf, Slc21a14	solute carrier organic anion transporter family, member 1c1	solute carrier organic anion transporter family member 1C1|organic anion transporter 2|organic anion transporter F|organic anion-transporting polypeptide 14|solute carrier family 21 (organic anion transporter), member 14|thyroxine transporter	6 72.38 cM	6	NC_000072.7	141470080	141515903	plus	15		
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
10090	Mus musculus	58806	107987	secondary	Aoc3-rs		amine oxidase, copper containing 3, related sequence			4							
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
7955	Danio rerio	58010	0	live	id:ibd2860		id:ibd2860										
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
9606	Homo sapiens	57509	0	live	MTUS1	ATBP, ATIP, ATIP3, ICIS, MP44, MTSG1	microtubule associated scaffold protein 1	microtubule-associated tumor suppressor 1|AT2 receptor-binding protein|AT2 receptor-interacting protein|AT2R binding protein|angiotensin-II type 2 receptor-interacting protein|erythroid differentiation-related|microtubule associated tumor suppressor 1|mitochondrial tumor suppressor gene 1|transcription factor MTSG1	8p22	8	NC_000008.11	17643802	17801521	minus	22	609589	
9606	Homo sapiens	1	0	live	A1BG	A1B, ABG, GAB, HYST2477	alpha-1-B glycoprotein	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA	19q13.43	19	NC_000019.10	58345183	58353492	minus	8	138670	
9606	Homo sapiens	56253	0	live	CRTAM	CD355	cytotoxic and regulatory T cell molecule	cytotoxic and regulatory T-cell molecule|class-I MHC-restricted T-cell-associated molecule	11q24.1	11	NC_000011.10	122838500	122872643	plus	10	612597	
